,Accuracy of Logistic Regression Algorithm,Accuracy of LDA Algorithm,Accuracy of XgBoost,Accuracy of Random Forest,Black PPR RF,Black PPR XG,Black PPR LDA,Black PPR LR,White PPR RF,White PPR XG,White PPR LDA,White PPR LR,Black NPR RF,Black NPR XG,Black NPR LDA,Black NPR LR,White NPR RF,White NPR XG,White NPR LDA,White NPR LR,Black TPR RF,Black TPR XG,Black TPR LDA,Black TPR LR,White TPR RF,White TPR XG,White TPR LDA,White TPR LR,Black FPR RF,Black FPR XG,Black FPR LDA,Black FPR LR,White FPR RF,White FPR XG,White FPR LDA,White FPR LR,Black TNR RF,Black TNR XG,Black TNR LDA,Black TNR LR,White TNR RF,White TNR XG,White TNR LDA,White TNR LR,Black FNR RF,Black FNR XG,Black FNR LDA,Black FNR LR,White FNR RF,White FNR XG,White FNR LDA,White FNR LR,Black PPR among PP RF,Black PPR among PP XG,Black PPR among PP LDA,Black PPR among PP LR,White PPR among PP RF,White PPR among PP XG,White PPR among PP LDA,White PPR among PP LR,Black NPR among NP RF,Black NPR among NP XG,Black NPR among NP LDA,Black NPR among NP LR,White NPR among NP RF,White NPR among NP XG,White NPR among NP LDA,White NPR among NP LR,Black Accuracy under Random Forest,White Accuracy under Random Forest,White Accuracy under XG,Black Accuracy under XG,White Accuracy under LDA,Black Accuracy under LDA,White Accuracy under LR,Black Accuracy under LR
0,0.6504854368932039,0.6699029126213593,0.7281553398058253,0.6990291262135923,0.2631578947368421,0.3508771929824561,0.2982456140350877,0.3157894736842105,0.2391304347826087,0.32608695652173914,0.2608695652173913,0.15217391304347827,0.7368421052631579,0.6491228070175439,0.7017543859649122,0.6842105263157895,0.7608695652173914,0.6739130434782609,0.7391304347826086,0.8478260869565217,0.19298245614035087,0.24561403508771928,0.19298245614035087,0.19298245614035087,0.17391304347826086,0.2391304347826087,0.17391304347826086,0.10869565217391304,0.07017543859649122,0.10526315789473684,0.10526315789473684,0.12280701754385964,0.06521739130434782,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.5087719298245614,0.47368421052631576,0.47368421052631576,0.45614035087719296,0.5217391304347826,0.5,0.5,0.5434782608695652,0.22807017543859648,0.17543859649122806,0.22807017543859648,0.22807017543859648,0.2391304347826087,0.17391304347826086,0.2391304347826087,0.30434782608695654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7017543859649122,0.6956521739130435,0.7391304347826086,0.7192982456140351,0.6739130434782609,0.6666666666666666,0.6521739130434783,0.6491228070175439
1,0.7572815533980582,0.7669902912621359,0.8155339805825242,0.7475728155339806,0.2903225806451613,0.27419354838709675,0.25806451612903225,0.2903225806451613,0.4146341463414634,0.4634146341463415,0.4146341463414634,0.4878048780487805,0.7096774193548387,0.7258064516129032,0.7419354838709677,0.7096774193548387,0.5853658536585366,0.5365853658536586,0.5853658536585366,0.5121951219512195,0.1774193548387097,0.20967741935483872,0.1774193548387097,0.20967741935483872,0.34146341463414637,0.3902439024390244,0.34146341463414637,0.34146341463414637,0.11290322580645161,0.06451612903225806,0.08064516129032258,0.08064516129032258,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.14634146341463414,0.532258064516129,0.5806451612903226,0.5645161290322581,0.5645161290322581,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.3902439024390244,0.1774193548387097,0.14516129032258066,0.1774193548387097,0.14516129032258066,0.12195121951219512,0.07317073170731707,0.12195121951219512,0.12195121951219512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7096774193548387,0.8048780487804879,0.8536585365853658,0.7903225806451613,0.8048780487804879,0.7419354838709677,0.7317073170731707,0.7741935483870968
2,0.6699029126213593,0.7087378640776699,0.7669902912621359,0.7184466019417476,0.33783783783783783,0.36486486486486486,0.2972972972972973,0.2702702702702703,0.5862068965517241,0.4827586206896552,0.5172413793103449,0.4482758620689655,0.6621621621621622,0.6351351351351351,0.7027027027027027,0.7297297297297297,0.41379310344827586,0.5172413793103449,0.4827586206896552,0.5517241379310345,0.24324324324324326,0.2972972972972973,0.21621621621621623,0.16216216216216217,0.41379310344827586,0.3448275862068966,0.3793103448275862,0.3793103448275862,0.0945945945945946,0.06756756756756757,0.08108108108108109,0.10810810810810811,0.1724137931034483,0.13793103448275862,0.13793103448275862,0.06896551724137931,0.4594594594594595,0.4864864864864865,0.47297297297297297,0.44594594594594594,0.3448275862068966,0.3793103448275862,0.3793103448275862,0.4482758620689655,0.20270270270270271,0.14864864864864866,0.22972972972972974,0.28378378378378377,0.06896551724137931,0.13793103448275862,0.10344827586206896,0.10344827586206896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7027027027027027,0.7586206896551724,0.7241379310344828,0.7837837837837838,0.7586206896551724,0.6891891891891891,0.8275862068965517,0.6081081081081081
3,0.6019417475728155,0.6893203883495146,0.7378640776699029,0.6990291262135923,0.23809523809523808,0.2698412698412698,0.2857142857142857,0.09523809523809523,0.225,0.275,0.275,0.2,0.7619047619047619,0.7301587301587301,0.7142857142857143,0.9047619047619048,0.775,0.725,0.725,0.8,0.1746031746031746,0.2222222222222222,0.19047619047619047,0.047619047619047616,0.125,0.15,0.15,0.075,0.06349206349206349,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.1,0.125,0.125,0.125,0.5238095238095238,0.5396825396825397,0.49206349206349204,0.5396825396825397,0.575,0.55,0.55,0.55,0.23809523809523808,0.19047619047619047,0.2222222222222222,0.36507936507936506,0.2,0.175,0.175,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6984126984126984,0.7,0.7,0.7619047619047619,0.7,0.6825396825396826,0.625,0.5873015873015873
4,0.5922330097087378,0.6990291262135923,0.6990291262135923,0.6796116504854369,0.1836734693877551,0.30612244897959184,0.24489795918367346,0.10204081632653061,0.2962962962962963,0.37037037037037035,0.35185185185185186,0.24074074074074073,0.8163265306122449,0.6938775510204082,0.7551020408163265,0.8979591836734694,0.7037037037037037,0.6296296296296297,0.6481481481481481,0.7592592592592593,0.16326530612244897,0.22448979591836735,0.1836734693877551,0.04081632653061224,0.14814814814814814,0.2037037037037037,0.2037037037037037,0.1111111111111111,0.02040816326530612,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.14814814814814814,0.16666666666666666,0.14814814814814814,0.12962962962962962,0.5714285714285714,0.5102040816326531,0.5306122448979592,0.5306122448979592,0.48148148148148145,0.46296296296296297,0.48148148148148145,0.5,0.24489795918367346,0.1836734693877551,0.22448979591836735,0.3673469387755102,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.25925925925925924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7346938775510204,0.6296296296296297,0.6666666666666666,0.7346938775510204,0.6851851851851852,0.7142857142857143,0.6111111111111112,0.5714285714285714
5,0.6796116504854369,0.6990291262135923,0.7475728155339806,0.7281553398058253,0.41379310344827586,0.46551724137931033,0.3793103448275862,0.29310344827586204,0.4666666666666667,0.4888888888888889,0.4444444444444444,0.4222222222222222,0.5862068965517241,0.5344827586206896,0.6206896551724138,0.7068965517241379,0.5333333333333333,0.5111111111111111,0.5555555555555556,0.5777777777777777,0.29310344827586204,0.3275862068965517,0.2413793103448276,0.1896551724137931,0.3333333333333333,0.35555555555555557,0.3333333333333333,0.3111111111111111,0.1206896551724138,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.13333333333333333,0.13333333333333333,0.1111111111111111,0.1111111111111111,0.46551724137931033,0.4482758620689655,0.4482758620689655,0.4827586206896552,0.35555555555555557,0.35555555555555557,0.37777777777777777,0.37777777777777777,0.1206896551724138,0.08620689655172414,0.1724137931034483,0.22413793103448276,0.17777777777777778,0.15555555555555556,0.17777777777777778,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7586206896551724,0.6888888888888889,0.7111111111111111,0.7758620689655172,0.7111111111111111,0.6896551724137931,0.6888888888888889,0.6724137931034483
6,0.6699029126213593,0.7184466019417476,0.6990291262135923,0.7087378640776699,0.34328358208955223,0.3582089552238806,0.4626865671641791,0.31343283582089554,0.4444444444444444,0.4444444444444444,0.5277777777777778,0.2777777777777778,0.6567164179104478,0.6417910447761194,0.5373134328358209,0.6865671641791045,0.5555555555555556,0.5555555555555556,0.4722222222222222,0.7222222222222222,0.23880597014925373,0.23880597014925373,0.29850746268656714,0.22388059701492538,0.3888888888888889,0.3888888888888889,0.4444444444444444,0.25,0.1044776119402985,0.11940298507462686,0.16417910447761194,0.08955223880597014,0.05555555555555555,0.05555555555555555,0.08333333333333333,0.027777777777777776,0.417910447761194,0.40298507462686567,0.3582089552238806,0.43283582089552236,0.4166666666666667,0.4166666666666667,0.3888888888888889,0.4444444444444444,0.23880597014925373,0.23880597014925373,0.1791044776119403,0.2537313432835821,0.1388888888888889,0.1388888888888889,0.08333333333333333,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6567164179104478,0.8055555555555556,0.8055555555555556,0.6417910447761194,0.8333333333333334,0.6567164179104478,0.6944444444444444,0.6567164179104478
7,0.5825242718446602,0.7378640776699029,0.6990291262135923,0.6504854368932039,0.38333333333333336,0.43333333333333335,0.36666666666666664,0.2,0.37209302325581395,0.37209302325581395,0.32558139534883723,0.23255813953488372,0.6166666666666667,0.5666666666666667,0.6333333333333333,0.8,0.627906976744186,0.627906976744186,0.6744186046511628,0.7674418604651163,0.23333333333333334,0.3,0.26666666666666666,0.11666666666666667,0.18604651162790697,0.18604651162790697,0.20930232558139536,0.06976744186046512,0.15,0.13333333333333333,0.1,0.08333333333333333,0.18604651162790697,0.18604651162790697,0.11627906976744186,0.16279069767441862,0.38333333333333336,0.4,0.43333333333333335,0.45,0.5116279069767442,0.5116279069767442,0.5813953488372093,0.5348837209302325,0.23333333333333334,0.16666666666666666,0.2,0.35,0.11627906976744186,0.11627906976744186,0.09302325581395349,0.23255813953488372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6166666666666667,0.6976744186046512,0.6976744186046512,0.7,0.7906976744186046,0.7,0.6046511627906976,0.5666666666666667
8,0.7378640776699029,0.7669902912621359,0.7475728155339806,0.7669902912621359,0.26785714285714285,0.3392857142857143,0.32142857142857145,0.30357142857142855,0.40425531914893614,0.3617021276595745,0.3829787234042553,0.2553191489361702,0.7321428571428571,0.6607142857142857,0.6785714285714286,0.6964285714285714,0.5957446808510638,0.6382978723404256,0.6170212765957447,0.7446808510638298,0.17857142857142858,0.21428571428571427,0.17857142857142858,0.17857142857142858,0.2978723404255319,0.2553191489361702,0.3191489361702128,0.2127659574468085,0.08928571428571429,0.125,0.14285714285714285,0.125,0.10638297872340426,0.10638297872340426,0.06382978723404255,0.0425531914893617,0.5892857142857143,0.5535714285714286,0.5357142857142857,0.5535714285714286,0.46808510638297873,0.46808510638297873,0.5106382978723404,0.5319148936170213,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.1276595744680851,0.1702127659574468,0.10638297872340426,0.2127659574468085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7678571428571429,0.7659574468085106,0.723404255319149,0.7678571428571429,0.8297872340425532,0.7142857142857143,0.7446808510638298,0.7321428571428571
9,0.6504854368932039,0.7281553398058253,0.7378640776699029,0.7087378640776699,0.2727272727272727,0.36363636363636365,0.3090909090909091,0.3090909090909091,0.375,0.4583333333333333,0.4166666666666667,0.2916666666666667,0.7272727272727273,0.6363636363636364,0.6909090909090909,0.6909090909090909,0.625,0.5416666666666666,0.5833333333333334,0.7083333333333334,0.16363636363636364,0.21818181818181817,0.18181818181818182,0.16363636363636364,0.2916666666666667,0.3541666666666667,0.3333333333333333,0.20833333333333334,0.10909090909090909,0.14545454545454545,0.12727272727272726,0.14545454545454545,0.08333333333333333,0.10416666666666667,0.08333333333333333,0.08333333333333333,0.5636363636363636,0.5272727272727272,0.5454545454545454,0.5272727272727272,0.3958333333333333,0.375,0.3958333333333333,0.3958333333333333,0.16363636363636364,0.10909090909090909,0.14545454545454545,0.16363636363636364,0.22916666666666666,0.16666666666666666,0.1875,0.3125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,0.6875,0.7291666666666666,0.7454545454545455,0.7291666666666666,0.7272727272727273,0.6041666666666666,0.6909090909090909
