,Logistic Regression Accuracy,LDA Accuracy,KNN Accuracy,Decision Tree Accuracy,Random Forest Accuracy
0,0.6504854368932039,0.6699029126213593,0.7281553398058253,0.6116504854368932,0.6990291262135923
1,0.7572815533980582,0.7669902912621359,0.8155339805825242,0.6019417475728155,0.7475728155339806
2,0.6699029126213593,0.7087378640776699,0.7669902912621359,0.5825242718446602,0.7184466019417476
3,0.6019417475728155,0.6893203883495146,0.7378640776699029,0.6310679611650486,0.6990291262135923
4,0.5922330097087378,0.6990291262135923,0.6990291262135923,0.6699029126213593,0.6796116504854369
5,0.6796116504854369,0.6990291262135923,0.7475728155339806,0.6407766990291263,0.7281553398058253
6,0.6699029126213593,0.7184466019417476,0.6990291262135923,0.5728155339805825,0.7087378640776699
7,0.5825242718446602,0.7378640776699029,0.6990291262135923,0.6504854368932039,0.6504854368932039
8,0.7378640776699029,0.7669902912621359,0.7475728155339806,0.5922330097087378,0.7669902912621359
9,0.6504854368932039,0.7281553398058253,0.7378640776699029,0.6893203883495146,0.7087378640776699
10,0.6601941747572816,0.7572815533980582,0.7281553398058253,0.6310679611650486,0.7475728155339806
11,0.6116504854368932,0.7378640776699029,0.7572815533980582,0.7087378640776699,0.7766990291262136
12,0.6407766990291263,0.7087378640776699,0.7378640776699029,0.5922330097087378,0.7281553398058253
13,0.6407766990291263,0.6699029126213593,0.7378640776699029,0.6310679611650486,0.6893203883495146
14,0.7864077669902912,0.7961165048543689,0.8252427184466019,0.7281553398058253,0.7961165048543689
15,0.5922330097087378,0.6601941747572816,0.7087378640776699,0.6019417475728155,0.6699029126213593
16,0.5242718446601942,0.6310679611650486,0.7087378640776699,0.5825242718446602,0.6699029126213593
17,0.7378640776699029,0.7669902912621359,0.7766990291262136,0.7087378640776699,0.7961165048543689
18,0.5825242718446602,0.6796116504854369,0.7087378640776699,0.5922330097087378,0.7184466019417476
19,0.7184466019417476,0.7669902912621359,0.7475728155339806,0.6019417475728155,0.7378640776699029
20,0.6796116504854369,0.6990291262135923,0.6504854368932039,0.6601941747572816,0.7184466019417476
21,0.6116504854368932,0.7281553398058253,0.7475728155339806,0.6407766990291263,0.6990291262135923
22,0.6310679611650486,0.6893203883495146,0.6990291262135923,0.6213592233009708,0.6699029126213593
23,0.6893203883495146,0.6893203883495146,0.7572815533980582,0.6601941747572816,0.7087378640776699
24,0.6601941747572816,0.7184466019417476,0.6893203883495146,0.6310679611650486,0.7184466019417476
25,0.6504854368932039,0.7087378640776699,0.7184466019417476,0.6796116504854369,0.7281553398058253
26,0.5922330097087378,0.6504854368932039,0.7669902912621359,0.6990291262135923,0.7281553398058253
27,0.6213592233009708,0.7087378640776699,0.7281553398058253,0.7475728155339806,0.6990291262135923
28,0.6990291262135923,0.7669902912621359,0.6699029126213593,0.6893203883495146,0.7281553398058253
29,0.6990291262135923,0.7766990291262136,0.7475728155339806,0.6116504854368932,0.7669902912621359
30,0.6796116504854369,0.7087378640776699,0.7572815533980582,0.6407766990291263,0.7184466019417476
31,0.5922330097087378,0.6116504854368932,0.6699029126213593,0.5922330097087378,0.6504854368932039
32,0.6213592233009708,0.6796116504854369,0.7281553398058253,0.7572815533980582,0.6699029126213593
