,LRPrivPPR,LRProtPPR,LRPrivNPR,LRProtNPR,LDAPrivPPR,LDAProtPPR,LDAPrivNPR,LDAProtNPR,XGPrivPPR,XGProtPPR,XGPrivNPR,XGProtNPR,RFPrivPPR,RFProtPPR,RFPrivNPR,RFProtNPR
169,0.3333333333333333,0.22448979591836735,0.6666666666666666,0.7755102040816326,0.2777777777777778,0.2857142857142857,0.7222222222222222,0.7142857142857143,0.4074074074074074,0.3877551020408163,0.5925925925925926,0.6122448979591837,0.3148148148148148,0.30612244897959184,0.6851851851851852,0.6938775510204082
170,0.41025641025641024,0.3125,0.5897435897435898,0.6875,0.358974358974359,0.3125,0.6410256410256411,0.6875,0.3333333333333333,0.34375,0.6666666666666666,0.65625,0.358974358974359,0.25,0.6410256410256411,0.75
171,0.3148148148148148,0.2857142857142857,0.6851851851851852,0.7142857142857143,0.3333333333333333,0.30612244897959184,0.6666666666666666,0.6938775510204082,0.35185185185185186,0.3877551020408163,0.6481481481481481,0.6122448979591837,0.3333333333333333,0.3469387755102041,0.6666666666666666,0.6530612244897959
172,0.38095238095238093,0.26229508196721313,0.6190476190476191,0.7377049180327869,0.35714285714285715,0.29508196721311475,0.6428571428571429,0.7049180327868853,0.40476190476190477,0.3114754098360656,0.5952380952380952,0.6885245901639344,0.40476190476190477,0.2786885245901639,0.5952380952380952,0.7213114754098361
173,0.09302325581395349,0.21666666666666667,0.9069767441860465,0.7833333333333333,0.3023255813953488,0.35,0.6976744186046512,0.65,0.37209302325581395,0.35,0.627906976744186,0.65,0.27906976744186046,0.3,0.7209302325581395,0.7
174,0.23809523809523808,0.2786885245901639,0.7619047619047619,0.7213114754098361,0.2619047619047619,0.26229508196721313,0.7380952380952381,0.7377049180327869,0.30952380952380953,0.3114754098360656,0.6904761904761905,0.6885245901639344,0.21428571428571427,0.3442622950819672,0.7857142857142857,0.6557377049180327
175,0.38235294117647056,0.30434782608695654,0.6176470588235294,0.6956521739130435,0.4411764705882353,0.36231884057971014,0.5588235294117647,0.6376811594202898,0.2647058823529412,0.42028985507246375,0.7352941176470589,0.5797101449275363,0.29411764705882354,0.37681159420289856,0.7058823529411765,0.6231884057971014
176,0.36585365853658536,0.24193548387096775,0.6341463414634146,0.7580645161290323,0.4146341463414634,0.3064516129032258,0.5853658536585366,0.6935483870967742,0.4634146341463415,0.3387096774193548,0.5365853658536586,0.6612903225806451,0.4634146341463415,0.27419354838709675,0.5365853658536586,0.7258064516129032
177,0.3939393939393939,0.4,0.6060606060606061,0.6,0.5151515151515151,0.32857142857142857,0.48484848484848486,0.6714285714285714,0.48484848484848486,0.4142857142857143,0.5151515151515151,0.5857142857142857,0.45454545454545453,0.32857142857142857,0.5454545454545454,0.6714285714285714
178,0.23684210526315788,0.3076923076923077,0.7631578947368421,0.6923076923076923,0.21052631578947367,0.35384615384615387,0.7894736842105263,0.6461538461538462,0.2631578947368421,0.3076923076923077,0.7368421052631579,0.6923076923076923,0.18421052631578946,0.2923076923076923,0.8157894736842105,0.7076923076923077
179,0.40384615384615385,0.29411764705882354,0.5961538461538461,0.7058823529411765,0.4807692307692308,0.4117647058823529,0.5192307692307693,0.5882352941176471,0.4230769230769231,0.4117647058823529,0.5769230769230769,0.5882352941176471,0.4230769230769231,0.4117647058823529,0.5769230769230769,0.5882352941176471
180,0.30952380952380953,0.36065573770491804,0.6904761904761905,0.639344262295082,0.35714285714285715,0.3770491803278688,0.6428571428571429,0.6229508196721312,0.4523809523809524,0.47540983606557374,0.5476190476190477,0.5245901639344263,0.35714285714285715,0.39344262295081966,0.6428571428571429,0.6065573770491803
181,0.34,0.18867924528301888,0.66,0.8113207547169812,0.36,0.3018867924528302,0.64,0.6981132075471698,0.38,0.3584905660377358,0.62,0.6415094339622641,0.32,0.22641509433962265,0.68,0.7735849056603774
182,0.20833333333333334,0.32727272727272727,0.7916666666666666,0.6727272727272727,0.2708333333333333,0.32727272727272727,0.7291666666666666,0.6727272727272727,0.3125,0.34545454545454546,0.6875,0.6545454545454545,0.2708333333333333,0.36363636363636365,0.7291666666666666,0.6363636363636364
183,0.4523809523809524,0.21311475409836064,0.5476190476190477,0.7868852459016393,0.5238095238095238,0.26229508196721313,0.47619047619047616,0.7377049180327869,0.4523809523809524,0.29508196721311475,0.5476190476190477,0.7049180327868853,0.40476190476190477,0.21311475409836064,0.5952380952380952,0.7868852459016393
184,0.3170731707317073,0.24193548387096775,0.6829268292682927,0.7580645161290323,0.43902439024390244,0.3225806451612903,0.5609756097560976,0.6774193548387096,0.4634146341463415,0.24193548387096775,0.5365853658536586,0.7580645161290323,0.4878048780487805,0.22580645161290322,0.5121951219512195,0.7741935483870968
185,0.125,0.16363636363636364,0.875,0.8363636363636363,0.375,0.2727272727272727,0.625,0.7272727272727273,0.4166666666666667,0.2727272727272727,0.5833333333333334,0.7272727272727273,0.2916666666666667,0.18181818181818182,0.7083333333333334,0.8181818181818182
186,0.32075471698113206,0.24,0.6792452830188679,0.76,0.3584905660377358,0.2,0.6415094339622641,0.8,0.3584905660377358,0.32,0.6415094339622641,0.68,0.37735849056603776,0.28,0.6226415094339622,0.72
187,0.14285714285714285,0.07407407407407407,0.8571428571428571,0.9259259259259259,0.3469387755102041,0.3333333333333333,0.6530612244897959,0.6666666666666666,0.3673469387755102,0.3148148148148148,0.6326530612244898,0.6851851851851852,0.2653061224489796,0.2777777777777778,0.7346938775510204,0.7222222222222222
188,0.30612244897959184,0.46296296296296297,0.6938775510204082,0.5370370370370371,0.3673469387755102,0.5,0.6326530612244898,0.5,0.3673469387755102,0.35185185185185186,0.6326530612244898,0.6481481481481481,0.3877551020408163,0.4074074074074074,0.6122448979591837,0.5925925925925926
189,0.22641509433962265,0.2,0.7735849056603774,0.8,0.3584905660377358,0.48,0.6415094339622641,0.52,0.32075471698113206,0.5,0.6792452830188679,0.5,0.3018867924528302,0.38,0.6981132075471698,0.62
190,0.21818181818181817,0.4583333333333333,0.7818181818181819,0.5416666666666666,0.2545454545454545,0.3958333333333333,0.7454545454545455,0.6041666666666666,0.36363636363636365,0.4375,0.6363636363636364,0.5625,0.34545454545454546,0.3958333333333333,0.6545454545454545,0.6041666666666666
