,LR White Recidivism,LR White No Recidivism,LR Black Recidivism,LR Black No Recidivism,LDA White Recidivism,LDA White No Recidivism,LDA Black Recidivism,LDA Black No Recidivism,RF White Recidivism,RF White No Recidivism,RF Black Recidivism,RF Black No Recidivism,XG White Recidivism,XG White No Recidivism,XG Black Recidivism,XG Black No Recidivism
175,21,13,48,21,19,15,44,25,24,10,43,26,25,9,40,29
176,26,15,47,15,24,17,43,19,22,19,45,17,22,19,41,21
177,20,13,42,28,16,17,47,23,18,15,47,23,17,16,41,29
178,29,9,45,20,30,8,42,23,31,7,46,19,28,10,45,20
179,31,21,36,15,27,25,30,21,30,22,30,21,30,22,30,21
180,29,13,39,22,27,15,38,23,27,15,37,24,23,19,32,29
181,33,17,43,10,32,18,37,16,34,16,41,12,31,19,34,19
182,38,10,37,18,35,13,37,18,35,13,35,20,33,15,36,19
183,23,19,48,13,20,22,45,16,25,17,48,13,23,19,43,18
184,28,13,47,15,23,18,42,20,21,20,48,14,22,19,47,15
185,42,6,46,9,30,18,40,15,34,14,45,10,28,20,40,15
186,36,17,38,12,34,19,40,10,33,20,36,14,34,19,34,16
187,42,7,50,4,32,17,36,18,36,13,39,15,31,18,37,17
188,34,15,29,25,31,18,27,27,30,19,32,22,31,18,35,19
189,41,12,40,10,34,19,26,24,37,16,31,19,36,17,25,25
190,43,12,26,22,41,14,29,19,36,19,29,19,35,20,27,21
191,35,13,35,20,29,19,38,17,25,23,44,11,31,17,40,15
192,38,18,28,19,37,19,30,17,40,16,27,20,38,18,24,23
193,23,10,47,23,22,11,48,22,21,12,48,22,16,17,44,26
194,23,19,36,25,23,19,40,21,23,19,40,21,20,22,35,26
195,21,10,52,20,18,13,43,29,17,14,47,25,19,12,42,30
196,32,15,45,11,29,18,28,28,27,20,31,25,27,20,28,28
197,26,20,42,15,32,14,40,17,33,13,40,17,31,15,37,20
198,37,13,35,18,29,21,36,17,29,21,36,17,31,19,34,19
199,36,8,51,8,22,22,41,18,25,19,45,14,24,20,44,15
200,42,8,46,7,30,20,41,12,34,16,39,14,33,17,36,17
201,30,10,41,22,28,12,38,25,25,15,39,24,25,15,36,27
202,28,24,36,15,28,24,34,17,24,28,35,16,25,27,32,19
203,38,8,51,6,30,16,37,20,30,16,41,16,31,15,39,18
204,29,11,41,22,28,12,40,23,28,12,44,19,25,15,35,28
205,32,13,39,19,29,16,29,29,31,14,38,20,34,11,31,27
206,37,13,40,13,35,15,38,15,36,14,38,15,33,17,37,16
207,29,11,46,17,23,17,44,19,25,15,45,18,21,19,44,19
208,26,12,48,17,26,12,41,24,25,13,50,15,25,13,43,22
209,28,11,47,17,30,9,38,26,29,10,46,18,28,11,37,27
210,23,22,42,16,26,19,43,15,30,15,48,10,28,17,43,15
211,20,15,45,23,20,15,49,19,23,12,49,19,22,13,40,28
212,30,8,47,18,26,12,46,19,26,12,48,17,26,12,44,21
213,28,16,32,27,33,11,36,23,34,10,39,20,32,12,37,22
214,29,12,40,22,27,14,40,22,26,15,45,17,28,13,43,19
215,31,14,44,14,29,16,33,25,31,14,35,23,28,17,28,30
216,26,18,38,21,23,21,43,16,22,22,40,19,20,24,42,17
217,34,17,35,17,34,17,35,17,31,20,39,13,33,18,38,14
218,36,5,41,21,23,18,37,25,27,14,35,27,23,18,34,28
219,25,11,33,34,25,11,37,30,25,11,43,24,26,10,39,28
220,31,16,42,14,28,19,42,14,28,19,39,17,30,17,38,18
221,29,8,50,16,22,15,45,21,18,19,46,20,19,18,42,24
222,34,14,39,16,33,15,38,17,35,13,36,19,28,20,28,27
223,31,15,38,19,24,22,39,18,28,18,46,11,27,19,40,17
224,40,9,46,8,28,21,32,22,25,24,30,24,30,19,25,29
225,21,15,43,24,17,19,43,24,18,18,47,20,20,16,40,27
226,30,12,38,23,24,18,35,26,22,20,43,18,25,17,35,26
227,38,7,52,6,28,17,33,25,29,16,37,21,28,17,36,22
228,27,10,39,27,24,13,38,28,24,13,43,23,27,10,39,27
229,41,8,38,16,28,21,33,21,28,21,34,20,29,20,34,20
230,35,7,52,9,21,21,40,21,22,20,41,20,21,21,37,24
231,41,9,51,2,24,26,38,15,25,25,40,13,22,28,35,18
232,34,15,32,22,30,19,31,23,32,17,34,20,27,22,31,23
233,31,14,43,15,23,22,36,22,27,18,38,20,21,24,33,25
234,25,18,39,21,21,22,36,24,19,24,41,19,19,24,38,22
235,43,7,43,10,29,21,35,18,27,23,37,16,29,21,34,19
236,28,14,42,19,25,17,36,25,26,16,40,21,24,18,36,25
237,29,21,39,14,27,23,34,19,31,19,36,17,30,20,36,17
238,33,13,38,19,33,13,34,23,35,11,35,22,32,14,33,24
239,26,13,48,16,23,16,43,21,22,17,49,15,25,14,46,18
240,27,14,45,17,23,18,40,22,27,14,42,20,24,17,39,23
241,29,18,40,16,27,20,43,13,30,17,46,10,30,17,40,16
242,30,20,40,13,28,22,36,17,32,18,40,13,32,18,31,22
243,31,17,37,18,31,17,33,22,31,17,37,18,34,14,32,23
244,28,20,37,18,25,23,41,14,26,22,40,15,29,19,31,24
245,32,11,38,22,25,18,37,23,29,14,40,20,21,22,36,24
246,42,9,46,6,32,19,37,15,30,21,37,15,29,22,40,12
247,28,12,45,18,24,16,43,20,24,16,47,16,25,15,44,19
248,28,13,39,23,29,12,40,22,29,12,41,21,31,10,38,24
249,33,8,40,22,32,9,39,23,30,11,37,25,30,11,35,27
