,Logistic Regression Priviledged Rate,Logistic Regression Discriminated Rate,LDA Priviledged Rate,LDA Discriminated Rate,XG Priviledged Rate,XG Discriminated Rate,Decision Tree Priviledged Rate,Decision Tree Discriminated Rate,RF Priviledged Rate,RF Discriminated Rate
200,0.12307692307692308,0.09090909090909091,0.37735849056603776,0.16666666666666666,0.30357142857142855,0.2537313432835821,0.5208333333333334,0.2727272727272727,0.2807017543859649,0.2
201,0.19607843137254902,0.2894736842105263,0.24489795918367346,0.3424657534246575,0.32608695652173914,0.38028169014084506,0.32608695652173914,0.38028169014084506,0.32608695652173914,0.32432432432432434
202,0.41379310344827586,0.22388059701492538,0.41379310344827586,0.26153846153846155,0.4909090909090909,0.30158730158730157,0.6078431372549019,0.3225806451612903,0.5185185185185185,0.24242424242424243
203,0.11428571428571428,0.0759493670886076,0.25806451612903225,0.3076923076923077,0.23809523809523808,0.26865671641791045,0.23809523809523808,0.3492063492063492,0.25806451612903225,0.2318840579710145
204,0.21153846153846154,0.275,0.23529411764705882,0.2911392405063291,0.3125,0.3783783783783784,0.575,0.4166666666666667,0.23529411764705882,0.2289156626506024
205,0.21666666666666667,0.30158730158730157,0.2807017543859649,0.5471698113207547,0.1774193548387097,0.4909090909090909,0.46,0.41379310344827586,0.23728813559322035,0.3225806451612903
206,0.19696969696969696,0.18309859154929578,0.234375,0.21739130434782608,0.27419354838709675,0.23529411764705882,0.29508196721311475,0.423728813559322,0.2153846153846154,0.21739130434782608
207,0.21153846153846154,0.20481927710843373,0.3695652173913043,0.2345679012345679,0.4318181818181818,0.2345679012345679,0.3125,0.28205128205128205,0.3125,0.21951219512195122
208,0.25,0.19318181818181818,0.25,0.2962962962962963,0.2765957446808511,0.26506024096385544,0.36363636363636365,0.3291139240506329,0.2765957446808511,0.16666666666666666
209,0.21568627450980393,0.19767441860465115,0.16981132075471697,0.33766233766233766,0.21568627450980393,0.35526315789473684,0.34782608695652173,0.32051282051282054,0.19230769230769232,0.21176470588235294
210,0.43137254901960786,0.2077922077922078,0.35185185185185186,0.19230769230769232,0.30357142857142855,0.19230769230769232,0.40384615384615385,0.25675675675675674,0.25862068965517243,0.12048192771084337
211,0.4166666666666667,0.27058823529411763,0.4166666666666667,0.21348314606741572,0.34210526315789475,0.35,0.4166666666666667,0.3170731707317073,0.3076923076923077,0.21348314606741572
212,0.14035087719298245,0.21951219512195122,0.22641509433962265,0.2345679012345679,0.22641509433962265,0.26582278481012656,0.2037037037037037,0.3157894736842105,0.22641509433962265,0.20481927710843373
213,0.3018867924528302,0.4090909090909091,0.1896551724137931,0.32857142857142857,0.21052631578947367,0.30985915492957744,0.2545454545454545,0.3880597014925373,0.1694915254237288,0.273972602739726
214,0.23529411764705882,0.28205128205128205,0.2857142857142857,0.28205128205128205,0.26,0.2345679012345679,0.2857142857142857,0.28205128205128205,0.3125,0.20481927710843373
215,0.23333333333333334,0.208955223880597,0.27586206896551724,0.44642857142857145,0.2982456140350877,0.5882352941176471,0.27586206896551724,0.5,0.23333333333333334,0.39655172413793105
216,0.391304347826087,0.2727272727272727,0.4883720930232558,0.1951219512195122,0.6,0.20987654320987653,0.30612244897959184,0.3424657534246575,0.5238095238095238,0.24050632911392406
217,0.2698412698412698,0.25757575757575757,0.2698412698412698,0.25757575757575757,0.2903225806451613,0.2028985507246377,0.42857142857142855,0.27692307692307694,0.3333333333333333,0.18571428571428572
218,0.08333333333333333,0.27631578947368424,0.3829787234042553,0.3472222222222222,0.3829787234042553,0.4057971014492754,0.5116279069767442,0.3287671232876712,0.27450980392156865,0.38571428571428573
