,RFA,RFB,RFC,RFD,RFE,RFF,RFG,RFH,LDA,LDB,LDC,LDD,LDE,LDF,LDG,LDH,XGA,XGB,XGC,XGD,XGE,XGF,XGG,XGH,LRA,LRB,LRC,LRD,LRE,LRF,LRG,LRH
92,0.12195121951219512,0.0967741935483871,0.4878048780487805,0.5483870967741935,0.24390243902439024,0.1935483870967742,0.14634146341463414,0.16129032258064516,0.0975609756097561,0.12903225806451613,0.5121951219512195,0.5161290322580645,0.24390243902439024,0.1774193548387097,0.14634146341463414,0.1774193548387097,0.12195121951219512,0.11290322580645161,0.4878048780487805,0.532258064516129,0.24390243902439024,0.22580645161290322,0.14634146341463414,0.12903225806451613,0.04878048780487805,0.12903225806451613,0.5609756097560976,0.5161290322580645,0.24390243902439024,0.12903225806451613,0.14634146341463414,0.22580645161290322
93,0.20408163265306123,0.1111111111111111,0.3877551020408163,0.4444444444444444,0.2857142857142857,0.18518518518518517,0.12244897959183673,0.25925925925925924,0.12244897959183673,0.16666666666666666,0.46938775510204084,0.3888888888888889,0.2653061224489796,0.18518518518518517,0.14285714285714285,0.25925925925925924,0.14285714285714285,0.07407407407407407,0.4489795918367347,0.48148148148148145,0.2653061224489796,0.2777777777777778,0.14285714285714285,0.16666666666666666,0.22448979591836735,0.12962962962962962,0.3673469387755102,0.42592592592592593,0.30612244897959184,0.12962962962962962,0.10204081632653061,0.3148148148148148
94,0.15789473684210525,0.06153846153846154,0.4473684210526316,0.46153846153846156,0.15789473684210525,0.24615384615384617,0.23684210526315788,0.23076923076923078,0.13157894736842105,0.1076923076923077,0.47368421052631576,0.4153846153846154,0.18421052631578946,0.24615384615384617,0.21052631578947367,0.23076923076923078,0.13157894736842105,0.09230769230769231,0.47368421052631576,0.4307692307692308,0.15789473684210525,0.2923076923076923,0.23684210526315788,0.18461538461538463,0.13157894736842105,0.1076923076923077,0.47368421052631576,0.4153846153846154,0.10526315789473684,0.23076923076923078,0.2894736842105263,0.24615384615384617
95,0.027777777777777776,0.04477611940298507,0.4444444444444444,0.582089552238806,0.2777777777777778,0.19402985074626866,0.25,0.1791044776119403,0.05555555555555555,0.04477611940298507,0.4166666666666667,0.582089552238806,0.3055555555555556,0.1791044776119403,0.2222222222222222,0.19402985074626866,0.08333333333333333,0.1044776119402985,0.3888888888888889,0.5223880597014925,0.3055555555555556,0.22388059701492538,0.2222222222222222,0.14925373134328357,0.05555555555555555,0.04477611940298507,0.4166666666666667,0.582089552238806,0.16666666666666666,0.08955223880597014,0.3611111111111111,0.2835820895522388
96,0.10638297872340426,0.03571428571428571,0.46808510638297873,0.6428571428571429,0.2765957446808511,0.19642857142857142,0.14893617021276595,0.125,0.1276595744680851,0.10714285714285714,0.44680851063829785,0.5714285714285714,0.2978723404255319,0.19642857142857142,0.1276595744680851,0.125,0.14893617021276595,0.08928571428571429,0.425531914893617,0.5892857142857143,0.3404255319148936,0.19642857142857142,0.0851063829787234,0.125,0.0851063829787234,0.10714285714285714,0.48936170212765956,0.5714285714285714,0.23404255319148937,0.14285714285714285,0.19148936170212766,0.17857142857142858
97,0.12195121951219512,0.04838709677419355,0.4146341463414634,0.46774193548387094,0.1951219512195122,0.25806451612903225,0.2682926829268293,0.22580645161290322,0.17073170731707318,0.06451612903225806,0.36585365853658536,0.45161290322580644,0.1951219512195122,0.25806451612903225,0.2682926829268293,0.22580645161290322,0.12195121951219512,0.08064516129032258,0.4146341463414634,0.43548387096774194,0.21951219512195122,0.25806451612903225,0.24390243902439024,0.22580645161290322,0.0975609756097561,0.16129032258064516,0.43902439024390244,0.3548387096774194,0.12195121951219512,0.25806451612903225,0.34146341463414637,0.22580645161290322
98,0.1794871794871795,0.078125,0.41025641025641024,0.5,0.28205128205128205,0.265625,0.1282051282051282,0.15625,0.1794871794871795,0.09375,0.41025641025641024,0.484375,0.2564102564102564,0.28125,0.15384615384615385,0.140625,0.10256410256410256,0.09375,0.48717948717948717,0.484375,0.3333333333333333,0.296875,0.07692307692307693,0.125,0.20512820512820512,0.1875,0.38461538461538464,0.390625,0.1794871794871795,0.25,0.23076923076923078,0.171875
99,0.1282051282051282,0.109375,0.38461538461538464,0.578125,0.38461538461538464,0.1875,0.10256410256410256,0.125,0.23076923076923078,0.171875,0.28205128205128205,0.515625,0.4358974358974359,0.203125,0.05128205128205128,0.109375,0.1282051282051282,0.109375,0.38461538461538464,0.578125,0.41025641025641024,0.1875,0.07692307692307693,0.125,0.15384615384615385,0.078125,0.358974358974359,0.609375,0.1282051282051282,0.109375,0.358974358974359,0.203125
100,0.05555555555555555,0.08955223880597014,0.4722222222222222,0.4626865671641791,0.3333333333333333,0.19402985074626866,0.1388888888888889,0.2537313432835821,0.08333333333333333,0.11940298507462686,0.4444444444444444,0.43283582089552236,0.2777777777777778,0.2537313432835821,0.19444444444444445,0.19402985074626866,0.08333333333333333,0.05970149253731343,0.4444444444444444,0.4925373134328358,0.3333333333333333,0.31343283582089554,0.1388888888888889,0.13432835820895522,0.08333333333333333,0.11940298507462686,0.4444444444444444,0.43283582089552236,0.1111111111111111,0.13432835820895522,0.3611111111111111,0.31343283582089554
101,0.09302325581395349,0.08333333333333333,0.46511627906976744,0.5833333333333334,0.16279069767441862,0.18333333333333332,0.27906976744186046,0.15,0.09302325581395349,0.08333333333333333,0.46511627906976744,0.5833333333333334,0.20930232558139536,0.18333333333333332,0.23255813953488372,0.15,0.06976744186046512,0.1,0.4883720930232558,0.5666666666666667,0.23255813953488372,0.21666666666666667,0.20930232558139536,0.11666666666666667,0.11627906976744186,0.08333333333333333,0.4418604651162791,0.5833333333333334,0.20930232558139536,0.16666666666666666,0.23255813953488372,0.16666666666666666
102,0.07692307692307693,0.14285714285714285,0.4230769230769231,0.5064935064935064,0.34615384615384615,0.19480519480519481,0.15384615384615385,0.15584415584415584,0.15384615384615385,0.14285714285714285,0.34615384615384615,0.5064935064935064,0.34615384615384615,0.16883116883116883,0.15384615384615385,0.18181818181818182,0.15384615384615385,0.14285714285714285,0.34615384615384615,0.5064935064935064,0.38461538461538464,0.19480519480519481,0.11538461538461539,0.15584415584415584,0.15384615384615385,0.1038961038961039,0.34615384615384615,0.5454545454545454,0.15384615384615385,0.05194805194805195,0.34615384615384615,0.2987012987012987
